name,technology,status,year,capacity_mw,region,lat,lng,coords_exact,retired_units,developer_partners,financiers,investment,returns_tariff,tax_regulation,source
Zarafshan BESS,storage,plan,2028,300,Navoi (Murunau substation),41.6,64.18,false,,Masdar,Service agreement with Uzenergosotish,300 MW / 600 MWh — phase 1 of national storage programme,Battery storage service agreement,Storage incentives,Power Technology — operational Q3 2028
Angren TES,thermal,op,1957,286,Tashkent region (Angren),41.0167,70.1436,false,Units 1–2 retired 2025; several units not operating,State (Angren TPP JSC / JSC Thermal Power Plants),USSR state budget; coal,Not disclosed (state-planned),Regulated state tariff,State-owned,Global Energy Monitor
Tashkent TES,thermal,op,1963,2230,Tashkent region,41.3823,69.3678,true,"~430 MW retired (units 1–3, 2023); CCGT replacement under way",State (now JSC Thermal Power Plants),USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned; no commercial tax regime,EES EAEC energy profile
Navoi TES,thermal,op,1963,2060,Navoi region,40.1589,65.3161,true,Older steam units retired as CCGT (PGU) units added,State (now JSC Thermal Power Plants),USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned; no commercial tax regime,EES EAEC energy profile
Syrdarya TES,thermal,op,1972,3215,Syrdarya region (Shirin),40.2281,69.1006,true,,State (now JSC Thermal Power Plants),USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned; no commercial tax regime,Wikipedia / EES EAEC — units 1972–81
Tahiatash TES,thermal,op,1974,1190,Karakalpakstan,42.3155,59.5544,true,Units 1–3 (310 MW) being decommissioned; units 7–8 backup only,State (now JSC Thermal Power Plants),USSR state budget; CCGT add-ons later,Not disclosed (state-planned),Regulated state tariff,State-owned; no commercial tax regime,EES EAEC — units 5–6 1974/75; PGU 2020/21
Novo-Angren TES (coal),thermal,op,1985,2100,Tashkent region,40.9241,69.8167,true,Unit 8 (300 MW) unfinished / mothballed ~2015,State (now JSC Thermal Power Plants),USSR state budget,Not disclosed (state-planned),Regulated state tariff,State-owned; no commercial tax regime,"EES EAEC — first unit 1985, last 1993"
Talimarjan TES,thermal,op,2004,2600,Kashkadarya region,38.4825,65.6277,true,,State Uzbekenergo / JSC Talimarjan TPP,"ADB, JICA, EBRD, Uzbek Fund for Reconstruction & Development (UFRD)","Phase 1 ~$910M (ADB $350M, JICA $300M, UFRD $250M); Phase 2 ADB $450M + UFRD ~$175M",Regulated state tariff (state utility),State-owned; modernization under sovereign-backed DFI loans,Trend.az; ADB; EBRD project documents
Zarafshan wind,wind,op,2024,500,Navoi (Zarafshan),41.57,64.2,false,,Masdar,IPP / PPA,~$600M — first commercial wind farm in Uzbekistan,25-yr PPA,RES exemptions; customs/VAT relief,Times of Central Asia; Enerdata
Bash wind,wind,op,2025,500,Bukhara (Bash),40.2,63.9,false,,ACWA Power (Saudi); China Southern Power Grid 35%,EBRD $520M + line $47M; ADB $174M (Bash + Dzhankeldy),"BOOT IPP, 79 turbines","25-yr PPA, NEGU sole off-taker",RES exemptions; customs/VAT relief; no sovereign guarantee on tax regime,kun.uz; ADB; ACWA Power
Dzhankeldy wind,wind,op,2025,500,Bukhara (Dzhankeldy),40.5,64.2,false,,ACWA Power; China Southern Power Grid 35%,EBRD + ADB (with Bash),"BOOT IPP, 79 turbines","25-yr PPA, NEGU sole off-taker",RES exemptions; customs/VAT relief,"ACWA Power — greenfield IPP, BOOT"
Bash 2 wind,wind,build,2026,300,Bukhara (Gijduvan),40.1,64.68,false,,ACWA Power,ADB + AIIB + commercial ($116M package),BOOT IPP; 500kV line to Bash–Karakul + switching station,25-yr PPA (Nov 2023),RES exemptions; customs/VAT relief,AIIB; ADB; Energy Global
Beruniy wind + BESS,wind,build,2026,200,Karakalpakstan (Beruniy),41.69,60.75,false,,ACWA Power,IPP / PPA,200 MW wind + 100 MW battery,25-yr PPA,RES exemptions; customs/VAT relief,ess-news
Nukus 2 wind + BESS,wind,build,2027,200,Karakalpakstan (Nukus),42.46,59.61,false,,ACWA Power,ADB-supported,200 MW wind + battery,25-yr PPA,RES exemptions; needs 500kV evacuation to Tashkent,ADB
Kungrad wind,wind,plan,2028,1500,Karakalpakstan (Kungrad),43.06,58.85,false,,ACWA Power,IPP / PPA,1.5 GW — highest-wind-potential region,25-yr PPA,RES exemptions; major 500kV evacuation required,ACWA Power
